hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r6,N/A,N/A,3.830557049120525e-05,4.67,0.2868,0.2816,0.1643,0.2409,0.4488,0.4655,0.2418,0.1869,0.6532,0.7709,0.2011,0.1707
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r1,N/A,N/A,2.5711847614845623e-05,3.46,0.2653,0.2675,0.1432,0.231,0.4258,0.4439,0.2267,0.1863,0.6352,0.7688,0.1807,0.1553
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r2,N/A,N/A,3.1888980951869725e-05,3.71,0.2793,0.2748,0.1467,0.2334,0.4429,0.4603,0.2384,0.1876,0.6437,0.772,0.1941,0.1626
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r3,N/A,N/A,3.740970477494333e-05,4.6,0.2833,0.2807,0.153,0.2388,0.4521,0.4699,0.2373,0.1891,0.6458,0.7826,0.1983,0.1671
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r4,N/A,N/A,2.5698081249243275e-05,3.14,0.2756,0.2735,0.1492,0.2339,0.4372,0.4533,0.2346,0.1881,0.6501,0.772,0.1893,0.161
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r5,N/A,N/A,3.4023959859754026e-05,4.22,0.282,0.2787,0.146,0.2337,0.4493,0.4673,0.238,0.1897,0.6405,0.7709,0.1984,0.1662
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2026_r6,N/A,N/A,3.82983130294443e-05,4.33,0.2896,0.2815,0.1568,0.2351,0.461,0.476,0.2392,0.1852,0.6522,0.7678,0.2039,0.1695
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r1,BPR,BPR,7.914271439975201e-05,7.49,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r2,BPR,BPR,4.685543935560229e-05,4.7,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r3,BPR,BPR,4.795321334655246e-05,5.07,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r4,BPR,BPR,5.105175079984607e-05,4.94,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r5,BPR,BPR,2.9648349699627916e-05,3.25,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_BPR_r6,BPR,BPR,2.7602798259056022e-05,3.44,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r1,CE,CE,8.034544821845555e-05,7.22,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r2,CE,CE,4.713520819611379e-05,4.69,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r3,CE,CE,4.7861631549403914e-05,5.06,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r4,CE,CE,5.277757445424027e-05,5.02,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r5,CE,CE,3.0321227937724254e-05,3.36,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_CE_r6,CE,CE,2.688583561972842e-05,3.33,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r1,MSE,MSE,7.437279619056607e-05,6.72,0.1286,0.1305,0.0757,0.1175,0.2379,0.2572,0.1118,0.0907,0.4093,0.5504,0.0753,0.0633
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r2,MSE,MSE,4.7314228934809174e-05,4.99,0.1633,0.1651,0.0897,0.143,0.2984,0.3149,0.1345,0.109,0.4677,0.5907,0.1022,0.0874
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r3,MSE,MSE,4.775645473709875e-05,4.98,0.1375,0.1412,0.0823,0.1237,0.2514,0.2696,0.1171,0.099,0.421,0.5536,0.082,0.0709
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r4,MSE,MSE,5.254817011963593e-05,5.02,0.1405,0.1463,0.0823,0.1289,0.2607,0.2811,0.1164,0.1001,0.4199,0.5716,0.0851,0.0743
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r5,MSE,MSE,3.194519638818655e-05,3.64,0.1666,0.1675,0.0928,0.143,0.2972,0.3165,0.1368,0.1133,0.4539,0.5992,0.1066,0.0894
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,LightGCN,LightGCN_MSE_r6,MSE,MSE,2.673766245723784e-05,3.06,0.1278,0.1281,0.0668,0.109,0.2403,0.2571,0.1088,0.0883,0.3955,0.5217,0.0768,0.0631
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r1,BPR,BPR,9.167685373412477e-05,7.72,0.0927,0.0997,0.0466,0.0829,0.1618,0.1816,0.0891,0.0836,0.316,0.4687,0.0529,0.0456
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r2,BPR,BPR,5.284225435955345e-05,5.15,0.053,0.0589,0.0251,0.0478,0.0973,0.1138,0.0513,0.0508,0.1983,0.3234,0.0285,0.0245
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r3,BPR,BPR,5.747762441105651e-05,5.14,0.0733,0.0824,0.0293,0.0669,0.1328,0.1527,0.0717,0.0733,0.2609,0.4136,0.0412,0.0355
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r4,BPR,BPR,5.682112659438616e-05,5.42,0.0832,0.087,0.0366,0.0681,0.1496,0.1657,0.0793,0.0735,0.2853,0.4072,0.0476,0.0392
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r5,BPR,BPR,2.9256268692270062e-05,3.41,0.0324,0.0384,0.0144,0.0298,0.0632,0.0774,0.0331,0.0364,0.1453,0.2513,0.0157,0.0139
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_BPR_r6,BPR,BPR,2.3677631938186828e-05,2.68,0.0382,0.0427,0.0169,0.0336,0.0725,0.0879,0.0361,0.0369,0.1432,0.2598,0.0207,0.0171
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r1,CE,CE,9.133635687085383e-05,7.63,0.0934,0.0996,0.0458,0.0824,0.1651,0.1849,0.0889,0.0821,0.3139,0.4655,0.0536,0.0458
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r2,CE,CE,5.346451575931567e-05,5.25,0.0523,0.0589,0.0248,0.0485,0.0967,0.1137,0.0503,0.0506,0.1951,0.3224,0.0281,0.0245
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r3,CE,CE,5.690001302319779e-05,5.1,0.0724,0.0811,0.0296,0.0651,0.1315,0.1504,0.071,0.0725,0.2619,0.4072,0.0403,0.0349
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r4,CE,CE,5.7877594644607055e-05,5.47,0.0818,0.0869,0.0344,0.0678,0.1486,0.1661,0.0772,0.073,0.2757,0.4072,0.0472,0.0392
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r5,CE,CE,2.922958439197183e-05,3.09,0.0324,0.0384,0.0144,0.0298,0.0632,0.0774,0.0331,0.0364,0.1453,0.2513,0.0157,0.0139
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_CE_r6,CE,CE,2.3582542436007463e-05,2.98,0.038,0.0426,0.0169,0.0337,0.0724,0.0876,0.0358,0.0368,0.1432,0.2587,0.0206,0.0171
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r1,MSE,MSE,9.117787270447688e-05,7.92,0.0924,0.0985,0.0458,0.081,0.1615,0.1807,0.0882,0.0817,0.3097,0.4571,0.0532,0.0454
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r2,MSE,MSE,5.3542491927810705e-05,4.86,0.0528,0.0589,0.0251,0.0477,0.0977,0.1145,0.0507,0.0508,0.1983,0.3256,0.0284,0.0245
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r3,MSE,MSE,4.791808179772953e-07,5.37,0.0722,0.0808,0.0288,0.0648,0.1305,0.1504,0.0706,0.0721,0.2545,0.4062,0.0406,0.0348
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r4,MSE,MSE,5.7542175350179674e-05,5.45,0.0831,0.0873,0.0365,0.0674,0.152,0.1687,0.0778,0.0732,0.2821,0.4062,0.0476,0.0395
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r5,MSE,MSE,2.9234769829848992e-05,3.05,0.0324,0.0384,0.0144,0.0298,0.0632,0.0774,0.0331,0.0364,0.1453,0.2513,0.0157,0.0139
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NGCF,NGCF_MSE_r6,MSE,MSE,2.3999716381856253e-05,3.01,0.0382,0.0427,0.0169,0.0336,0.0725,0.0879,0.0361,0.0369,0.1432,0.2598,0.0207,0.0171
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,NeuMF,NeuMF_BPR_r1,BPR,BPR,7.509264778937133e-05,7.03,0.2389,0.2377,0.1268,0.2007,0.3907,0.4091,0.2021,0.1626,0.5832,0.7158,0.1631,0.1382
